vessel_call_id,vessel_name,voyage_no,customer_id,terminal_id,eta,ata,atd,total_moves_planned,total_moves_actual,status
190,HMM ALGECIRAS,V118E,9,1,2025-05-31 06:45:00,2025-05-31 06:41:29.687,2025-06-01 10:41:29.687,1935,1899,Departed
191,MAERSK MADRID,V849E,2,3,2025-05-31 04:15:00,2025-05-31 04:53:01.631,2025-06-02 03:53:01.631,1946,2006,Departed
192,YM WISDOM,V912E,9,2,2025-06-01 15:45:00,2025-06-01 18:46:45.016,2025-06-03 07:46:45.016,1648,1685,Departed
193,MAERSK MADRID,V393E,7,3,2025-06-01 22:30:00,2025-06-01 22:14:09.436,2025-06-02 20:14:09.436,2231,2293,Departed
194,HYUNDAI VICTORY,V954E,2,3,2025-06-02 22:15:00,2025-06-02 19:01:45.494,2025-06-04 16:01:45.494,1671,1553,Departed
195,HYUNDAI VICTORY,V849E,11,2,2025-06-02 12:45:00,2025-06-02 16:24:00.914,2025-06-04 11:24:00.914,761,778,Departed
196,CMA CGM MARCO POLO,V727E,4,2,2025-06-02 23:00:00,2025-06-02 22:02:20.095,2025-06-04 06:02:20.095,2753,2646,Departed
197,COSCO SHIPPING UNIVERSE,V564E,1,3,2025-06-03 13:00:00,2025-06-03 12:10:40.215,2025-06-04 16:10:40.215,1335,1379,Departed
198,CMA CGM MARCO POLO,V621E,8,3,2025-06-03 19:15:00,2025-06-03 16:17:54.975,2025-06-05 11:17:54.975,847,899,Departed
199,MSC OSCAR,V738E,10,2,2025-06-03 09:30:00,2025-06-03 08:38:59.073,2025-06-04 17:38:59.073,583,636,Departed
200,YM WISDOM,V282E,1,2,2025-06-04 13:15:00,2025-06-04 15:08:27.853,2025-06-06 07:08:27.853,1993,1790,Departed
201,OOCL HONG KONG,V104E,8,2,2025-06-04 12:45:00,2025-06-04 11:30:13.329,2025-06-05 20:30:13.329,2637,2744,Departed
202,YM WISDOM,V675E,9,1,2025-06-05 01:15:00,2025-06-05 00:09:02.915,2025-06-06 01:09:02.915,538,530,Departed
203,HMM ALGECIRAS,V741E,9,2,2025-06-05 13:30:00,2025-06-05 13:32:51.542,2025-06-07 10:32:51.542,762,838,Departed
204,MSC OSCAR,V126E,10,3,2025-06-06 19:45:00,2025-06-06 19:23:38.572,2025-06-07 20:23:38.572,2486,2500,Departed
205,MAERSK MADRID,V271E,1,2,2025-06-06 00:00:00,2025-06-05 21:30:20.285,2025-06-06 20:30:20.285,2535,2369,Departed
206,HYUNDAI VICTORY,V290E,8,3,2025-06-07 04:00:00,2025-06-07 03:01:55.027,2025-06-08 02:01:55.027,1532,1412,Departed
207,HYUNDAI VICTORY,V322E,2,2,2025-06-07 14:30:00,2025-06-07 11:17:08.154,2025-06-08 18:17:08.154,1260,1311,Departed
208,MAERSK MADRID,V743E,4,1,2025-06-07 13:45:00,2025-06-07 15:32:09.209,2025-06-08 15:32:09.209,746,722,Departed
209,EVER GIVEN,V815E,6,1,2025-06-08 09:30:00,2025-06-08 06:11:53.622,2025-06-09 21:11:53.622,2199,2268,Departed
210,MAERSK MADRID,V756E,6,1,2025-06-08 02:00:00,2025-06-08 02:24:42.750,2025-06-08 20:24:42.750,921,890,Departed
211,WAN HAI 805,V542E,12,2,2025-06-08 16:45:00,2025-06-08 17:51:01.331,2025-06-09 17:51:01.331,2306,2283,Departed
212,CMA CGM MARCO POLO,V638E,4,1,2025-06-09 05:30:00,2025-06-09 05:24:14.145,2025-06-10 18:24:14.145,512,482,Departed
213,OOCL HONG KONG,V230E,11,3,2025-06-09 19:30:00,2025-06-09 20:14:47.714,2025-06-11 17:14:47.714,1604,1644,Departed
214,COSCO SHIPPING UNIVERSE,V494E,6,2,2025-06-10 18:15:00,2025-06-10 15:58:46.625,2025-06-12 06:58:46.625,1289,1303,Departed
215,HYUNDAI VICTORY,V434E,3,2,2025-06-10 01:45:00,2025-06-10 02:58:05.897,2025-06-10 16:58:05.897,689,672,Departed
216,HYUNDAI VICTORY,V483E,10,2,2025-06-11 13:00:00,2025-06-11 14:13:45.627,2025-06-13 03:13:45.627,2583,2434,Departed
217,HYUNDAI VICTORY,V437E,12,1,2025-06-11 00:45:00,2025-06-10 22:36:36.487,2025-06-12 08:36:36.487,872,821,Departed
218,ZIM ROTTERDAM,V219E,1,1,2025-06-12 06:15:00,2025-06-12 09:27:45.329,2025-06-14 02:27:45.329,574,593,Departed
219,HYUNDAI VICTORY,V883E,11,1,2025-06-12 17:15:00,2025-06-12 19:09:09.434,2025-06-13 13:09:09.434,1758,1694,Departed
220,OOCL HONG KONG,V897E,12,3,2025-06-12 13:00:00,2025-06-12 13:18:27.859,2025-06-13 06:18:27.859,869,865,Departed
221,WAN HAI 805,V951E,6,3,2025-06-13 09:30:00,2025-06-13 09:14:13.083,2025-06-14 05:14:13.083,1853,1884,Departed
222,YM WISDOM,V456E,12,3,2025-06-13 07:15:00,2025-06-13 07:16:47.082,2025-06-14 07:16:47.082,1838,1808,Departed
223,HYUNDAI VICTORY,V685E,12,1,2025-06-13 20:15:00,2025-06-13 23:53:00.929,2025-06-15 21:53:00.929,642,622,Departed
224,HYUNDAI VICTORY,V699E,10,2,2025-06-13 07:00:00,2025-06-13 07:18:43.690,2025-06-15 04:18:43.690,1343,1302,Departed
225,OOCL HONG KONG,V491E,11,3,2025-06-14 14:30:00,2025-06-14 15:02:50.153,2025-06-16 14:02:50.153,1737,1706,Departed
226,HYUNDAI VICTORY,V244E,5,2,2025-06-14 09:30:00,2025-06-14 11:26:08.039,2025-06-15 22:26:08.039,2784,2687,Departed
227,HMM ALGECIRAS,V613E,1,3,2025-06-15 12:30:00,2025-06-15 09:54:58.145,2025-06-17 02:54:58.145,964,1034,Departed
228,COSCO SHIPPING UNIVERSE,V285E,9,2,2025-06-15 10:45:00,2025-06-15 12:54:19.736,2025-06-17 04:54:19.736,1278,1313,Departed
229,HYUNDAI VICTORY,V129E,11,2,2025-06-15 12:00:00,2025-06-15 12:29:19.711,2025-06-17 01:29:19.711,494,522,Departed
230,HMM ALGECIRAS,V817E,5,1,2025-06-16 13:45:00,2025-06-16 12:13:21.407,2025-06-17 09:13:21.407,1657,1575,Departed
231,OOCL HONG KONG,V314E,4,1,2025-06-16 14:00:00,2025-06-16 15:15:09.991,2025-06-17 06:15:09.991,2414,2374,Departed
232,HYUNDAI VICTORY,V571E,8,2,2025-06-16 12:15:00,2025-06-16 10:38:12.945,2025-06-18 09:38:12.945,2055,1895,Departed
233,HMM ALGECIRAS,V174E,9,1,2025-06-17 09:30:00,2025-06-17 11:23:31.931,2025-06-18 05:23:31.931,1344,1376,Departed
234,OOCL HONG KONG,V766E,5,1,2025-06-17 13:30:00,2025-06-17 12:13:34.780,2025-06-18 19:13:34.780,1171,1190,Departed
235,HMM ALGECIRAS,V802E,6,2,2025-06-17 23:45:00,2025-06-18 00:42:57.329,2025-06-18 17:42:57.329,2228,2223,Departed
236,COSCO SHIPPING UNIVERSE,V491E,8,3,2025-06-17 03:45:00,2025-06-17 05:37:10.795,2025-06-18 19:37:10.795,2036,2159,Departed
237,EVER GIVEN,V274E,3,1,2025-06-18 05:30:00,2025-06-18 04:29:56.301,2025-06-19 15:29:56.301,2665,2644,Departed
238,MSC OSCAR,V928E,3,3,2025-06-18 11:45:00,2025-06-18 12:02:59.303,2025-06-20 06:02:59.303,2589,2356,Departed
239,EVER GIVEN,V950E,8,2,2025-06-18 16:45:00,2025-06-18 14:09:10.793,2025-06-20 05:09:10.793,891,886,Departed
240,HMM ALGECIRAS,V569E,9,3,2025-06-19 11:30:00,2025-06-19 09:26:41.721,2025-06-19 23:26:41.721,1924,1930,Departed
241,COSCO SHIPPING UNIVERSE,V880E,5,3,2025-06-19 16:15:00,2025-06-19 18:59:20.336,2025-06-21 10:59:20.336,2400,2298,Departed
242,MSC OSCAR,V653E,9,3,2025-06-19 15:30:00,2025-06-19 16:15:29.079,2025-06-20 17:15:29.079,1470,1537,Departed
243,ZIM ROTTERDAM,V566E,2,2,2025-06-20 14:30:00,2025-06-20 10:30:00.000,2025-06-22 02:30:00.000,1540,1516,Departed
244,MSC OSCAR,V940E,4,1,2025-06-20 00:00:00,2025-06-19 22:01:26.986,2025-06-20 20:01:26.986,623,609,Departed
245,CMA CGM MARCO POLO,V885E,6,2,2025-06-20 10:00:00,2025-06-20 09:46:24.747,2025-06-22 06:46:24.747,2312,2343,Departed
246,COSCO SHIPPING UNIVERSE,V810E,5,2,2025-06-21 15:00:00,2025-06-21 20:22:43.636,2025-06-23 10:22:43.636,2785,2854,Departed
247,HMM ALGECIRAS,V283E,10,1,2025-06-21 23:15:00,2025-06-21 23:47:52.281,2025-06-23 19:47:52.281,1549,1574,Departed
248,COSCO SHIPPING UNIVERSE,V886E,2,3,2025-06-21 08:15:00,2025-06-21 07:49:24.155,2025-06-22 17:49:24.155,2755,2817,Departed
249,CMA CGM MARCO POLO,V610E,11,3,2025-06-21 14:15:00,2025-06-21 12:21:48.662,2025-06-22 21:21:48.662,2378,2455,Departed
250,HYUNDAI VICTORY,V578E,4,1,2025-06-22 07:00:00,2025-06-22 08:42:14.146,2025-06-23 21:42:14.146,956,1025,Departed
251,ZIM ROTTERDAM,V599E,8,1,2025-06-22 07:15:00,2025-06-22 07:02:04.012,2025-06-22 21:02:04.012,1611,1547,Departed
252,MSC OSCAR,V685E,7,2,2025-06-23 05:15:00,2025-06-23 03:34:12.060,2025-06-24 06:34:12.060,900,990,Departed
253,HYUNDAI VICTORY,V949E,4,1,2025-06-23 10:00:00,2025-06-23 11:45:27.558,2025-06-24 14:45:27.558,2487,2385,Departed
254,OOCL HONG KONG,V396E,12,3,2025-06-24 10:45:00,2025-06-24 10:04:20.112,2025-06-25 18:04:20.112,700,757,Departed
255,COSCO SHIPPING UNIVERSE,V649E,7,2,2025-06-24 05:45:00,2025-06-24 06:42:56.349,2025-06-25 05:42:56.349,497,503,Departed
256,WAN HAI 805,V405E,11,1,2025-06-25 12:30:00,2025-06-25 13:07:11.898,2025-06-27 03:07:11.898,1136,1121,Departed
257,ONE APUS,V939E,10,2,2025-06-25 17:15:00,2025-06-25 14:20:17.143,2025-06-26 07:20:17.143,1125,1225,Departed
258,YM WISDOM,V928E,2,1,2025-06-25 22:30:00,2025-06-26 00:49:48.822,2025-06-27 15:49:48.822,1849,1990,Departed
259,WAN HAI 805,V694E,5,2,2025-06-25 00:30:00,2025-06-24 21:28:10.006,2025-06-26 19:28:10.006,1311,1442,Departed
260,MSC OSCAR,V964E,11,1,2025-06-26 14:00:00,2025-06-26 13:14:59.139,2025-06-28 02:14:59.139,1744,1823,Departed
261,YM WISDOM,V884E,3,3,2025-06-26 05:15:00,2025-06-26 06:38:48.234,2025-06-28 05:38:48.234,1345,1278,Departed
262,MAERSK MADRID,V252E,7,3,2025-06-27 10:30:00,2025-06-27 10:06:20.123,2025-06-29 09:06:20.123,1101,1091,Departed
263,CMA CGM MARCO POLO,V341E,9,2,2025-06-27 06:00:00,2025-06-27 06:29:09.959,2025-06-27 20:29:09.959,2139,2044,Departed
264,HMM ALGECIRAS,V230E,3,2,2025-06-28 11:30:00,2025-06-28 11:41:10.752,2025-06-29 16:41:10.752,1479,1544,Departed
265,HYUNDAI VICTORY,V610E,5,2,2025-06-28 21:30:00,2025-06-29 01:56:59.266,2025-06-30 11:56:59.266,1877,1991,Departed
266,OOCL HONG KONG,V294E,12,3,2025-06-29 05:00:00,2025-06-29 01:42:53.970,2025-06-30 03:42:53.970,2066,2105,Departed
267,EVER GIVEN,V747E,4,3,2025-06-29 17:45:00,2025-06-29 18:26:46.218,2025-07-01 12:26:46.218,1892,2025,Departed
268,MAERSK MADRID,V981E,7,3,2025-06-29 00:30:00,2025-06-28 21:06:51.282,2025-06-29 14:06:51.282,1743,1748,Departed
269,WAN HAI 805,V873E,2,3,2025-06-29 20:15:00,2025-06-29 20:52:10.567,2025-07-01 16:52:10.567,2062,1859,Departed
270,MAERSK MADRID,V449E,4,3,2025-06-30 17:15:00,2025-06-30 17:54:48.377,2025-07-01 22:54:48.377,2260,2137,Departed
271,MSC OSCAR,V844E,12,2,2025-06-30 06:00:00,2025-06-30 03:24:17.267,2025-07-02 03:24:17.267,1973,1972,Departed
272,YM WISDOM,V578E,4,1,2025-07-01 13:30:00,2025-07-01 14:15:39.462,2025-07-03 11:15:39.462,1607,1542,Departed
273,CMA CGM MARCO POLO,V531E,11,3,2025-07-01 00:30:00,2025-07-01 00:40:05.271,2025-07-01 20:40:05.271,2406,2441,Departed
274,ONE APUS,V191E,5,3,2025-07-02 21:15:00,2025-07-02 23:39:52.957,2025-07-03 19:39:52.957,1715,1886,Departed
275,MAERSK MADRID,V177E,7,3,2025-07-02 10:45:00,2025-07-02 08:06:16.110,2025-07-03 20:06:16.110,1031,1081,Departed
276,MSC OSCAR,V472E,9,3,2025-07-03 22:00:00,2025-07-03 19:38:45.339,2025-07-05 07:38:45.339,2609,2584,Departed
277,HMM ALGECIRAS,V889E,4,3,2025-07-03 07:15:00,2025-07-03 04:28:25.453,2025-07-04 22:28:25.453,2348,2247,Departed
278,MSC OSCAR,V717E,2,1,2025-07-03 02:45:00,2025-07-03 02:29:05.918,2025-07-04 16:29:05.918,592,597,Departed
279,ONE APUS,V709E,7,2,2025-07-04 12:30:00,2025-07-04 16:17:16.668,2025-07-06 10:17:16.668,2494,2333,Departed
280,CMA CGM MARCO POLO,V611E,7,3,2025-07-04 18:00:00,2025-07-04 15:50:53.985,2025-07-06 08:50:53.985,655,662,Departed
281,HYUNDAI VICTORY,V228E,4,2,2025-07-05 10:45:00,2025-07-05 12:38:08.678,2025-07-06 13:38:08.678,2185,2157,Departed
282,OOCL HONG KONG,V661E,4,2,2025-07-05 10:30:00,2025-07-05 10:27:09.967,2025-07-06 21:27:09.967,1555,1492,Departed
283,YM WISDOM,V781E,4,1,2025-07-06 20:15:00,2025-07-06 16:58:14.211,2025-07-07 20:58:14.211,2128,2174,Departed
284,OOCL HONG KONG,V498E,11,1,2025-07-06 00:30:00,2025-07-06 00:27:39.738,2025-07-06 19:27:39.738,893,912,Departed
285,ZIM ROTTERDAM,V938E,4,1,2025-07-06 03:45:00,2025-07-05 23:45:00.000,2025-07-07 09:45:00.000,1672,1631,Departed
286,OOCL HONG KONG,V861E,11,2,2025-07-07 18:00:00,2025-07-07 17:07:18.810,2025-07-09 09:07:18.810,2464,2519,Departed
287,YM WISDOM,V121E,8,3,2025-07-07 22:30:00,2025-07-07 22:07:30.248,2025-07-09 00:07:30.248,744,818,Departed
288,CMA CGM MARCO POLO,V529E,8,2,2025-07-08 02:15:00,2025-07-08 05:55:49.755,2025-07-09 05:55:49.755,1931,1776,Departed
289,COSCO SHIPPING UNIVERSE,V744E,6,3,2025-07-08 21:45:00,2025-07-08 20:45:59.116,2025-07-10 17:45:59.116,927,971,Departed
290,WAN HAI 805,V525E,1,1,2025-07-08 02:15:00,2025-07-08 05:41:32.334,2025-07-09 19:41:32.334,1995,2061,Departed
291,YM WISDOM,V711E,8,1,2025-07-09 13:45:00,2025-07-09 12:38:39.363,2025-07-11 05:38:39.363,2371,2272,Departed
292,EVER GIVEN,V486E,10,3,2025-07-09 15:15:00,2025-07-09 16:41:27.847,2025-07-10 12:41:27.847,2723,2769,Departed
293,OOCL HONG KONG,V385E,1,3,2025-07-10 19:15:00,2025-07-10 20:58:20.534,2025-07-12 16:58:20.534,2718,2423,Departed
294,WAN HAI 805,V945E,8,2,2025-07-10 19:45:00,2025-07-10 20:33:07.900,2025-07-12 08:33:07.900,442,433,Departed
295,MSC OSCAR,V359E,8,1,2025-07-10 17:30:00,2025-07-10 15:28:42.784,2025-07-11 06:28:42.784,2435,2276,Departed
296,ZIM ROTTERDAM,V264E,7,3,2025-07-10 11:30:00,2025-07-10 13:10:15.306,2025-07-12 10:10:15.306,1432,1420,Departed
297,MSC OSCAR,V252E,6,1,2025-07-11 03:45:00,2025-07-11 05:47:57.571,2025-07-12 10:47:57.571,2591,2631,Departed
298,ONE APUS,V421E,4,2,2025-07-11 03:00:00,2025-07-11 02:50:50.562,2025-07-12 20:50:50.562,2075,2106,Departed
299,EVER GIVEN,V842E,4,2,2025-07-11 10:00:00,2025-07-11 09:56:31.259,2025-07-13 06:56:31.259,834,904,Departed
300,MAERSK MADRID,V776E,3,2,2025-07-12 22:15:00,2025-07-12 21:57:16.504,2025-07-14 15:57:16.504,511,526,Departed
301,YM WISDOM,V665E,9,3,2025-07-12 15:30:00,2025-07-12 14:40:39.021,2025-07-13 12:40:39.021,2640,2727,Departed
302,OOCL HONG KONG,V862E,11,2,2025-07-12 22:30:00,2025-07-12 23:20:02.144,2025-07-14 10:20:02.144,503,513,Departed
303,HYUNDAI VICTORY,V337E,6,1,2025-07-13 18:45:00,2025-07-13 18:13:15.882,2025-07-14 20:13:15.882,1574,1584,Departed
304,CMA CGM MARCO POLO,V667E,2,2,2025-07-13 04:00:00,2025-07-13 01:55:18.733,2025-07-14 12:55:18.733,1977,2046,Departed
305,ZIM ROTTERDAM,V202E,12,2,2025-07-13 05:00:00,2025-07-13 06:19:42.373,2025-07-14 03:19:42.373,629,616,Departed
306,CMA CGM MARCO POLO,V432E,3,2,2025-07-13 15:45:00,2025-07-13 15:22:55.530,2025-07-15 03:22:55.530,579,584,Departed
307,WAN HAI 805,V725E,8,3,2025-07-14 23:45:00,2025-07-15 01:26:58.069,2025-07-16 10:26:58.069,2475,2418,Departed
308,ZIM ROTTERDAM,V595E,9,1,2025-07-14 01:00:00,2025-07-14 01:54:53.283,2025-07-14 23:54:53.283,1217,1219,Departed
309,MSC OSCAR,V726E,12,1,2025-07-15 01:45:00,2025-07-15 00:38:08.594,2025-07-16 21:38:08.594,2445,2513,Departed
310,EVER GIVEN,V229E,4,2,2025-07-15 13:15:00,2025-07-15 16:47:25.253,2025-07-17 13:47:25.253,1105,1013,Departed
311,WAN HAI 805,V373E,6,1,2025-07-16 06:00:00,2025-07-16 04:00:15.189,2025-07-17 00:00:15.189,1476,1528,Departed
312,HYUNDAI VICTORY,V992E,4,1,2025-07-16 14:45:00,2025-07-16 14:52:42.373,2025-07-17 09:52:42.373,1060,1051,Departed
313,MAERSK MADRID,V741E,1,3,2025-07-17 12:45:00,2025-07-17 13:31:45.886,2025-07-18 03:31:45.886,1735,1708,Departed
314,COSCO SHIPPING UNIVERSE,V678E,11,1,2025-07-17 22:15:00,2025-07-17 20:32:08.780,2025-07-18 11:32:08.780,2420,2388,Departed
315,WAN HAI 805,V904E,1,1,2025-07-18 08:45:00,2025-07-18 07:23:09.534,2025-07-19 05:23:09.534,2142,2225,Departed
316,COSCO SHIPPING UNIVERSE,V816E,3,2,2025-07-18 18:00:00,2025-07-18 18:51:21.285,2025-07-19 14:51:21.285,899,961,Departed
317,HYUNDAI VICTORY,V835E,12,2,2025-07-18 21:15:00,2025-07-18 22:25:04.902,2025-07-20 09:25:04.902,2475,2495,Departed
318,ZIM ROTTERDAM,V350E,11,1,2025-07-18 15:00:00,2025-07-18 12:29:54.287,2025-07-19 14:29:54.287,1234,1311,Departed
319,MAERSK MADRID,V649E,6,1,2025-07-19 01:00:00,2025-07-19 01:48:28.460,2025-07-20 02:48:28.460,1564,1621,Departed
320,HYUNDAI VICTORY,V263E,2,2,2025-07-19 07:00:00,2025-07-19 07:27:00.149,2025-07-21 03:27:00.149,2333,2234,Departed
321,MAERSK MADRID,V206E,1,3,2025-07-19 07:30:00,2025-07-19 04:18:44.613,2025-07-20 19:18:44.613,898,921,Departed
322,HMM ALGECIRAS,V968E,12,2,2025-07-19 06:00:00,2025-07-19 04:30:54.578,2025-07-20 03:30:54.578,883,859,Departed
323,EVER GIVEN,V889E,2,1,2025-07-20 13:45:00,2025-07-20 12:51:44.013,2025-07-21 22:51:44.013,1479,1391,Departed
324,MSC OSCAR,V209E,12,2,2025-07-20 13:45:00,2025-07-20 15:24:07.563,2025-07-21 12:24:07.563,699,763,Departed
325,MAERSK MADRID,V794E,2,3,2025-07-20 03:45:00,2025-07-20 02:11:50.280,2025-07-21 14:11:50.280,2663,2629,Departed
326,OOCL HONG KONG,V812E,5,3,2025-07-20 02:30:00,2025-07-20 00:04:42.942,2025-07-21 02:04:42.942,1523,1529,Departed
327,HMM ALGECIRAS,V648E,4,3,2025-07-21 18:30:00,2025-07-21 19:39:25.520,2025-07-23 04:39:25.520,662,728,Departed
328,OOCL HONG KONG,V204E,10,1,2025-07-21 15:00:00,2025-07-21 16:25:27.729,2025-07-23 16:25:27.729,1473,1496,Departed
329,HMM ALGECIRAS,V771E,3,1,2025-07-22 09:00:00,2025-07-22 09:10:08.989,2025-07-23 03:10:08.989,2545,2441,Departed
330,MSC OSCAR,V452E,11,1,2025-07-22 10:00:00,2025-07-22 10:51:37.394,2025-07-24 00:51:37.394,1692,1707,Departed
331,MAERSK MADRID,V160E,1,1,2025-07-22 20:30:00,2025-07-22 19:12:24.215,2025-07-23 09:12:24.215,1226,1254,Departed
332,HYUNDAI VICTORY,V133E,8,2,2025-07-22 09:00:00,2025-07-22 07:53:39.676,2025-07-24 03:53:39.676,2259,2330,Departed
333,COSCO SHIPPING UNIVERSE,V336E,4,2,2025-07-23 10:45:00,2025-07-23 12:35:14.016,2025-07-24 05:35:14.016,644,682,Departed
334,EVER GIVEN,V198E,1,3,2025-07-23 14:30:00,2025-07-23 15:04:33.298,2025-07-24 05:04:33.298,449,447,Departed
335,OOCL HONG KONG,V216E,6,3,2025-07-24 06:45:00,2025-07-24 02:45:00.000,2025-07-24 22:45:00.000,453,400,Departed
336,EVER GIVEN,V563E,3,2,2025-07-24 03:45:00,2025-07-24 04:34:49.867,2025-07-25 14:34:49.867,2784,2887,Departed
337,HMM ALGECIRAS,V390E,10,1,2025-07-24 08:30:00,2025-07-24 10:29:37.693,2025-07-25 05:29:37.693,1172,1244,Departed
338,EVER GIVEN,V300E,10,1,2025-07-24 00:15:00,2025-07-23 21:19:44.932,2025-07-24 13:19:44.932,2700,2796,Departed
339,ZIM ROTTERDAM,V533E,10,2,2025-07-25 20:15:00,2025-07-25 16:47:43.420,2025-07-27 07:47:43.420,881,940,Departed
340,CMA CGM MARCO POLO,V280E,5,3,2025-07-25 23:45:00,2025-07-25 20:51:55.550,2025-07-27 12:51:55.550,2394,2209,Departed
341,HMM ALGECIRAS,V468E,11,1,2025-07-26 14:30:00,2025-07-26 13:10:39.468,2025-07-27 11:10:39.468,854,868,Departed
342,WAN HAI 805,V141E,8,2,2025-07-26 04:30:00,2025-07-26 05:15:18.077,2025-07-27 18:15:18.077,588,564,Departed
343,HMM ALGECIRAS,V159E,1,3,2025-07-26 07:00:00,2025-07-26 08:30:26.415,2025-07-27 15:30:26.415,2755,2708,Departed
344,CMA CGM MARCO POLO,V437E,3,3,2025-07-26 14:30:00,2025-07-26 16:40:02.003,2025-07-27 18:40:02.003,1509,1531,Departed
345,MSC OSCAR,V468E,2,2,2025-07-27 23:15:00,2025-07-27 21:25:59.326,2025-07-29 12:25:59.326,1513,1507,Departed
346,WAN HAI 805,V856E,2,1,2025-07-27 06:30:00,2025-07-27 07:01:59.294,2025-07-28 18:01:59.294,810,808,Departed
347,MAERSK MADRID,V256E,9,3,2025-07-27 00:30:00,2025-07-27 02:31:03.996,2025-07-27 19:31:03.996,1369,1346,Departed
348,CMA CGM MARCO POLO,V394E,6,2,2025-07-28 13:15:00,2025-07-28 12:07:49.381,2025-07-29 23:07:49.381,2276,2157,Departed
349,MAERSK MADRID,V212E,4,1,2025-07-28 11:00:00,2025-07-28 07:03:18.537,2025-07-29 04:03:18.537,2067,2165,Departed
350,YM WISDOM,V487E,6,1,2025-07-28 10:15:00,2025-07-28 06:28:56.654,2025-07-30 00:28:56.654,623,661,Departed
351,CMA CGM MARCO POLO,V765E,11,2,2025-07-29 18:45:00,2025-07-29 17:14:46.825,2025-07-31 02:14:46.825,2658,2783,Departed
352,MAERSK MADRID,V295E,8,2,2025-07-29 16:30:00,2025-07-29 17:51:56.454,2025-07-30 20:51:56.454,1569,1451,Departed
353,YM WISDOM,V444E,6,2,2025-07-30 01:15:00,2025-07-30 01:27:55.806,2025-07-31 17:27:55.806,551,530,Departed
354,MAERSK MADRID,V316E,8,1,2025-07-30 23:45:00,2025-07-31 00:14:40.714,2025-07-31 20:14:40.714,2378,2341,Departed
355,COSCO SHIPPING UNIVERSE,V748E,8,1,2025-07-31 01:30:00,2025-07-31 02:52:22.515,2025-08-02 02:52:22.515,2503,2655,Departed
356,HYUNDAI VICTORY,V600E,9,2,2025-07-31 10:15:00,2025-07-31 11:50:59.738,2025-08-01 09:50:59.738,2574,2284,Departed
357,COSCO SHIPPING UNIVERSE,V292E,10,2,2025-07-31 18:15:00,2025-07-31 19:22:05.213,2025-08-02 09:22:05.213,1279,1260,Departed
358,EVER GIVEN,V153E,10,2,2025-07-31 03:00:00,2025-07-30 23:00:00.000,2025-07-31 13:00:00.000,968,1013,Departed
359,YM WISDOM,V977E,6,1,2025-08-01 02:45:00,2025-08-01 03:37:03.312,2025-08-02 09:37:03.312,2120,2118,Departed
360,EVER GIVEN,V339E,5,1,2025-08-01 22:30:00,2025-08-01 21:58:15.288,2025-08-03 03:58:15.288,2117,2016,Departed
361,MAERSK MADRID,V132E,6,2,2025-08-01 08:30:00,2025-08-01 09:57:58.519,2025-08-02 16:57:58.519,989,943,Departed
362,CMA CGM MARCO POLO,V749E,12,3,2025-08-02 12:00:00,2025-08-02 08:53:07.263,2025-08-03 19:53:07.263,2544,2665,Departed
363,HMM ALGECIRAS,V489E,12,2,2025-08-02 09:30:00,2025-08-02 10:01:07.673,2025-08-03 04:01:07.673,1238,1096,Departed
364,CMA CGM MARCO POLO,V846E,5,3,2025-08-03 07:45:00,2025-08-03 08:20:40.401,2025-08-04 23:20:40.401,2266,2155,Departed
365,WAN HAI 805,V657E,1,1,2025-08-03 13:30:00,2025-08-03 14:35:30.483,2025-08-05 02:35:30.483,2718,2785,Departed
366,ONE APUS,V418E,9,2,2025-08-03 04:45:00,2025-08-03 06:05:21.626,2025-08-05 04:05:21.626,2656,2519,Departed
367,EVER GIVEN,V240E,1,2,2025-08-04 21:30:00,2025-08-04 23:31:57.569,2025-08-05 19:31:57.569,504,517,Departed
368,MSC OSCAR,V435E,12,1,2025-08-04 08:00:00,2025-08-04 09:42:42.136,2025-08-05 06:42:42.136,1471,1488,Departed
369,WAN HAI 805,V259E,10,1,2025-08-04 00:15:00,2025-08-04 00:55:29.979,2025-08-04 14:55:29.979,1668,1645,Departed
370,MSC OSCAR,V432E,8,2,2025-08-04 09:30:00,2025-08-04 14:30:45.731,2025-08-06 04:30:45.731,479,451,Departed
371,EVER GIVEN,V698E,7,2,2025-08-05 12:45:00,2025-08-05 13:42:59.774,2025-08-06 17:42:59.774,843,796,Departed
372,ZIM ROTTERDAM,V383E,6,1,2025-08-05 23:00:00,2025-08-05 22:48:35.659,2025-08-06 12:48:35.659,1025,1061,Departed
373,COSCO SHIPPING UNIVERSE,V410E,5,1,2025-08-05 20:15:00,2025-08-05 21:01:48.380,2025-08-07 05:01:48.380,449,454,Departed
374,COSCO SHIPPING UNIVERSE,V380E,6,3,2025-08-06 18:15:00,2025-08-06 18:48:02.050,2025-08-07 10:48:02.050,1508,1450,Departed
375,ONE APUS,V646E,8,3,2025-08-06 20:00:00,2025-08-06 20:54:25.150,2025-08-08 06:54:25.150,842,851,Departed
376,OOCL HONG KONG,V952E,6,2,2025-08-06 17:45:00,2025-08-06 15:13:19.617,2025-08-07 21:13:19.617,2458,2269,Departed
377,HYUNDAI VICTORY,V151E,3,2,2025-08-07 15:00:00,2025-08-07 12:01:37.540,2025-08-09 04:01:37.540,2670,2596,Departed
